timestamp,elapsed_s,cpu_percent,cpu_freq,cpu_memory,cpu_temp,gpu_percent,gpu_memory,gpu_temp,anomaly,score,inference_latency_ms,jitter_ms,drift_detected
1771406881.327,76.3,21.5,3100.0,61.9,45.0,100.0,26.7822265625,65.0,1,0.142505,1.000,9.386,0
1771406882.330,77.3,17.4,3100.0,62.0,64.0,100.0,26.7333984375,66.0,1,0.160519,1.000,14.661,0
1771406883.303,78.3,23.8,3100.0,62.0,64.0,100.0,26.7822265625,67.0,1,0.455851,1.000,3.010,0
1771406884.329,79.3,24.6,3100.0,62.0,67.0,100.0,26.7333984375,68.0,-1,-0.399882,1.000,7.731,0
1771406885.314,80.3,20.7,3100.0,62.1,67.0,100.0,26.7333984375,68.0,1,0.491386,1.000,14.673,0
1771406886.307,81.3,23.8,3100.0,62.1,67.0,100.0,26.7333984375,69.0,1,0.302931,1.000,6.959,0
1771406887.315,82.3,23.0,3100.0,62.1,67.0,100.0,26.7333984375,69.0,1,0.069418,1.000,12.885,0
1771406888.390,83.4,19.8,3100.0,62.2,69.0,100.0,26.7333984375,70.0,-1,-0.403932,1.000,6.262,0
1771406889.703,84.7,28.4,1500.0,62.2,69.0,100.0,26.7333984375,70.0,1,0.421583,1.000,390.447,0
1771406890.325,85.3,23.1,3100.0,62.2,69.0,100.0,26.7333984375,71.0,-1,-0.098885,1.000,8.961,0
1771406891.374,86.3,29.0,3100.0,62.2,69.0,100.0,26.7333984375,71.0,-1,-0.446942,1.000,10.459,0
1771406892.345,87.3,25.2,3100.0,62.3,69.0,100.0,26.7333984375,72.0,-1,-0.139810,1.000,14.573,0
1771406893.349,88.3,31.5,3100.0,62.3,71.0,100.0,26.7333984375,72.0,-1,-0.224862,1.000,17.893,0
1771406894.337,89.3,22.1,1500.0,62.3,71.0,100.0,26.7333984375,72.0,-1,-0.070025,1.000,11.621,0
1771406895.638,90.6,33.7,3100.0,62.4,71.0,100.0,26.7333984375,73.0,-1,-0.114830,1.000,309.886,0
1771406896.347,91.3,20.9,3100.0,62.4,71.0,100.0,26.7333984375,73.0,1,0.473179,1.000,15.520,0
1771406897.352,92.3,31.8,3100.0,62.4,71.0,100.0,26.7578125,73.0,-1,-0.329676,1.000,17.027,0
1771406898.385,93.4,26.3,3100.0,62.4,72.0,100.0,26.7578125,74.0,1,0.289966,1.000,7.627,0
1771406899.390,94.4,27.2,1500.0,62.5,72.0,100.0,26.7578125,74.0,1,0.123850,1.000,17.354,0
1771406900.697,95.7,35.8,3100.0,62.5,72.0,100.0,26.7578125,74.0,-1,-0.287119,1.000,339.764,0
1771406901.324,96.3,22.5,3100.0,62.5,72.0,100.0,26.7578125,74.0,1,0.330950,1.000,7.293,0
1771406902.311,97.3,16.2,3100.0,62.5,72.0,100.0,26.806640625,75.0,1,0.404503,1.000,10.026,0
1771406903.364,98.3,21.4,3100.0,62.6,72.0,100.0,26.806640625,75.0,1,0.194129,1.000,15.791,0
1771406904.348,99.3,26.8,3100.0,62.6,74.0,100.0,26.806640625,75.0,-1,-0.486610,1.000,1.200,0
1771406905.336,100.3,33.3,3100.0,62.6,74.0,100.0,26.806640625,76.0,1,0.400452,1.000,3.422,0
